,file_name,midi_nunique_inst,midi_nunique_note,midi_num_notes,midi_min_note,midi_second_quintile_note,midi_median_note,midi_fourth_quintile_note,midi_max_note,midi_avg_notes_inst
0,1727,5,75,413845,24,57,63,70,100,82769.0
1,1728,5,63,378694,31,62,69,78,98,75738.8
2,1729,5,71,500871,26,57,66,76,100,100174.2
3,1730,5,76,503410,26,56,65,74,102,100682.0
4,1733,1,70,145296,30,51,67,78,100,145296.0
5,1734,1,63,195751,32,57,66,76,100,195751.0
6,1735,1,71,453256,29,56,64,76,100,453256.0
7,1739,3,71,641098,29,58,67,77,101,213699.33333333334
8,1742,3,55,261866,36,58,65,71,90,87288.66666666667
9,1749,1,69,327482,28,52,62,70,96,327482.0
10,1750,1,71,412507,29,56,65,73,100,412507.0
11,1751,1,62,277814,31,57,64,72,93,277814.0
12,1752,1,70,256260,26,56,68,76,100,256260.0
13,1755,1,64,79984,29,55,65,77,98,79984.0
14,1756,1,69,219203,26,54,66,74,101,219203.0
15,1757,1,70,398798,26,51,60,70,97,398798.0
16,1758,1,61,162270,29,49,56,68,92,162270.0
17,1759,1,55,104136,32,51,59,70,94,104136.0
18,1760,1,72,449512,29,51,60,72,101,449512.0
19,1763,1,72,397614,29,57,64,72,104,397614.0
20,1764,1,58,166600,29,51,63,72,97,166600.0
21,1765,1,72,410092,29,54,63,74,101,410092.0
22,1766,1,72,324873,29,57,68,80,101,324873.0
23,1768,1,48,83194,33,54,61,69,88,83194.0
24,1771,1,65,397512,27,58,67,75,95,397512.0
25,1772,1,55,148269,34,61,67,74,91,148269.0
26,1773,1,48,103040,41,59,67,75,96,103040.0
27,1775,1,69,471396,29,53,64,73,100,471396.0
28,1776,1,67,321334,29,54,64,73,97,321334.0
29,1777,1,59,401332,31,53,64,72,91,401332.0
30,1788,3,55,327021,36,58,66,73,91,109007.0
31,1789,3,53,148681,36,53,65,70,89,49560.333333333336
32,1790,3,52,207652,36,59,65,72,91,69217.33333333333
33,1791,3,52,324092,36,59,65,72,89,108030.66666666667
34,1792,3,55,325693,36,58,66,73,91,108564.33333333333
35,1793,3,53,148681,36,53,65,70,89,49560.333333333336
36,1805,3,52,235311,36,58,66,72,88,78437.0
37,1807,3,56,155312,36,55,65,74,91,51770.666666666664
38,1811,4,48,134759,38,59,65,73,88,33689.75
39,1812,4,43,238414,38,62,68,74,86,59603.5
40,1813,4,45,365782,38,61,68,73,88,91445.5
41,1817,3,37,133648,39,58,65,72,82,44549.333333333336
42,1818,3,45,143150,34,58,63,70,84,47716.666666666664
43,1819,3,38,84317,39,58,64,72,84,28105.666666666668
44,1822,3,52,283829,36,58,64,71,89,94609.66666666667
45,1824,3,46,99689,41,62,68,75,93,33229.666666666664
46,1828,3,52,126551,33,59,66,73,88,42183.666666666664
47,1829,3,56,312564,32,63,71,78,90,104188.0
48,1835,3,50,158942,36,60,68,76,91,52980.666666666664
49,1859,3,47,170507,39,59,66,71,88,56835.666666666664
50,1872,3,54,169275,31,58,67,74,87,56425.0
51,1873,3,60,271829,29,57,69,77,89,90609.66666666667
52,1876,3,55,180486,31,59,67,75,89,60162.0
53,1893,3,53,221867,33,58,66,75,88,73955.66666666667
54,1916,3,58,421425,36,55,65,74,93,140475.0
55,1918,3,54,108308,36,55,62,70,94,36102.666666666664
56,1919,3,59,352876,36,55,64,73,94,117625.33333333333
57,1922,3,54,108308,36,55,62,70,94,36102.666666666664
58,1923,3,59,353516,36,55,64,73,94,117838.66666666667
59,1931,3,50,153047,38,57,62,72,96,51015.666666666664
60,1932,3,58,198289,36,53,65,74,96,66096.33333333333
61,1933,3,58,321970,36,56,63,70,96,107323.33333333333
62,2075,5,49,293027,39,63,71,77,89,58605.4
63,2076,5,44,78716,39,60,67,75,86,15743.2
64,2077,5,43,161346,39,62,70,75,87,32269.2
65,2078,5,52,256549,38,62,71,77,91,51309.8
66,2079,5,50,116026,38,62,71,77,91,23205.2
67,2080,5,49,211862,38,64,72,77,88,42372.4
68,2081,5,51,221030,36,62,72,77,91,44206.0
69,2082,5,50,146915,38,64,69,75,91,29383.0
70,2083,5,45,225990,38,64,72,77,89,45198.0
71,2104,3,55,198967,36,60,67,74,91,66322.33333333333
72,2105,3,51,84346,36,57,64,74,90,28115.333333333332
73,2106,3,51,131111,37,58,66,74,88,43703.666666666664
74,2112,2,69,373361,27,49,62,72,95,186680.5
75,2113,2,61,237058,31,57,64,74,95,118529.0
76,2114,2,72,327701,26,51,62,73,99,163850.5
77,2116,2,57,216042,36,51,61,71,93,108021.0
78,2117,2,56,64256,27,55,62,70,90,32128.0
79,2118,2,54,139537,27,53,62,70,92,69768.5
80,2119,2,63,197829,24,56,64,71,93,98914.5
81,2127,8,62,340940,34,55,64,72,96,42617.5
82,2131,8,59,435572,36,59,68,76,97,54446.5
83,2138,3,58,121589,36,56,62,68,94,40529.666666666664
84,2140,3,57,256386,36,57,65,74,92,85462.0
85,2147,3,60,506579,36,57,66,74,97,168859.66666666666
86,2148,4,75,723632,24,55,65,74,98,180908.0
87,2149,4,67,498172,28,52,62,70,96,124543.0
88,2150,4,74,494507,24,54,63,72,99,123626.75
89,2151,4,76,692358,26,56,67,76,103,173089.5
90,2154,3,60,506165,36,54,63,70,96,168721.66666666666
91,2155,3,59,371407,36,55,62,71,95,123802.33333333333
92,2156,3,58,227280,36,55,65,74,96,75760.0
93,2157,3,58,450964,36,58,65,74,94,150321.33333333334
94,2158,3,66,238368,26,55,63,70,94,79456.0
95,2159,3,70,402671,24,53,64,72,94,134223.66666666666
96,2160,3,74,124255,23,48,63,71,97,41418.333333333336
97,2161,3,73,406568,24,55,65,75,99,135522.66666666666
98,2166,4,71,473880,25,55,62,69,96,118470.0
99,2167,4,80,185353,23,51,58,68,104,46338.25
100,2168,4,72,237352,27,57,64,74,101,59338.0
101,2169,4,76,487339,21,55,62,70,98,121834.75
102,2177,3,57,369345,36,58,65,70,93,123115.0
103,2178,3,55,338781,36,58,65,73,91,112927.0
104,2179,3,57,222660,36,57,64,72,94,74220.0
105,2180,4,57,440933,36,57,65,72,93,110233.25
106,2186,2,33,118653,56,68,73,76,88,59326.5
107,2191,1,22,40696,59,71,74,78,83,40696.0
108,2194,1,42,33380,37,59,70,77,84,33380.0
109,2195,1,44,91433,37,55,65,72,84,91433.0
110,2196,1,38,53380,44,58,65,75,84,53380.0
111,2198,1,45,47932,38,56,65,72,84,47932.0
112,2200,1,45,45427,36,53,62,69,82,45427.0
113,2201,1,43,45632,36,57,64,72,84,45632.0
114,2202,1,28,76933,62,71,76,79,93,76933.0
115,2203,1,27,66708,62,71,75,79,91,66708.0
116,2204,1,25,23074,62,72,76,81,92,23074.0
117,2207,1,44,51690,40,55,64,73,84,51690.0
118,2208,1,43,78708,36,57,63,72,84,78708.0
119,2209,1,46,81818,36,54,64,71,83,81818.0
120,2210,1,44,45827,36,56,66,72,84,45827.0
121,2211,1,45,82355,39,53,61,68,84,82355.0
122,2212,1,45,34479,36,56,65,72,84,34479.0
123,2213,1,45,47042,36,55,65,71,84,47042.0
124,2214,1,35,64536,36,53,59,64,80,64536.0
125,2215,1,39,48218,40,57,65,72,84,48218.0
126,2217,1,29,53242,36,48,53,57,67,53242.0
127,2218,1,25,51474,36,48,53,57,67,51474.0
128,2219,1,25,52204,36,48,53,57,64,52204.0
129,2220,1,27,23008,36,49,54,58,67,23008.0
130,2221,1,22,48077,36,50,55,59,65,48077.0
131,2222,1,28,55290,36,50,53,57,67,55290.0
132,2224,1,44,61521,38,56,65,73,84,61521.0
133,2225,1,43,88712,38,55,63,71,84,88712.0
134,2227,1,42,55529,41,55,62,69,84,55529.0
135,2228,1,47,49432,36,57,64,70,84,49432.0
136,2229,1,47,152837,38,55,64,71,84,152837.0
137,2230,1,44,38503,36,56,65,72,83,38503.0
138,2231,1,41,61632,39,58,66,74,84,61632.0
139,2232,1,43,38127,36,53,60,65,84,38127.0
140,2234,1,44,56762,36,54,62,71,84,56762.0
141,2237,1,40,54736,37,56,64,71,83,54736.0
142,2238,1,33,26324,40,56,64,71,82,26324.0
143,2239,1,40,54640,36,53,61,70,84,54640.0
144,2240,1,32,42549,39,55,63,70,82,42549.0
145,2241,3,28,43425,55,67,72,77,82,14475.0
146,2242,3,35,116745,55,66,72,77,89,38915.0
147,2243,3,26,35542,55,65,70,75,86,11847.333333333334
148,2244,1,30,113467,55,66,70,74,86,113467.0
149,2247,1,38,46985,37,57,64,71,83,46985.0
150,2248,1,42,27893,40,56,66,71,83,27893.0
151,2282,2,49,70907,35,61,71,76,86,35453.5
152,2283,2,46,155503,37,59,70,76,86,77751.5
153,2284,2,49,67529,37,62,73,76,88,33764.5
154,2285,2,48,213359,37,59,71,78,88,106679.5
155,2288,1,29,55108,55,68,73,78,86,55108.0
156,2289,1,32,68152,55,66,71,77,86,68152.0
157,2292,1,37,39659,38,56,66,76,83,39659.0
158,2293,1,30,43212,36,48,53,57,65,43212.0
159,2294,1,25,56818,36,50,53,58,67,56818.0
160,2295,1,26,49524,36,50,53,57,67,49524.0
161,2296,1,26,21472,36,50,53,58,67,21472.0
162,2297,1,25,72370,36,51,55,57,67,72370.0
163,2298,1,25,50862,38,50,53,57,63,50862.0
164,2300,1,46,48489,38,57,66,71,84,48489.0
165,2302,1,36,51572,38,54,64,72,83,51572.0
166,2303,1,44,47351,38,61,68,73,83,47351.0
167,2304,1,44,50930,37,54,62,68,83,50930.0
168,2305,1,37,38295,37,54,63,71,81,38295.0
169,2307,1,46,48891,37,54,62,68,83,48891.0
170,2308,1,45,34186,36,53,61,70,83,34186.0
171,2310,1,41,37985,38,54,62,71,84,37985.0
172,2313,3,59,332827,36,56,65,74,95,110942.33333333333
173,2314,3,57,367033,36,57,66,74,97,122344.33333333333
174,2315,3,55,254829,36,55,66,76,93,84943.0
175,2318,3,61,466456,29,51,62,74,89,155485.33333333334
176,2319,3,61,220275,29,51,60,70,91,73425.0
177,2320,3,43,132708,32,51,62,71,84,44236.0
178,2322,1,67,411290,29,51,64,75,96,411290.0
179,2325,1,67,411253,29,51,64,75,96,411253.0
180,2330,2,61,397513,29,56,67,76,93,198756.5
181,2334,2,62,369746,30,52,62,72,91,184873.0
182,2335,2,54,194211,27,55,63,70,87,97105.5
183,2336,2,57,242601,31,50,62,74,91,121300.5
184,2341,2,54,194145,27,55,63,70,87,97072.5
185,2342,2,57,242601,31,50,62,74,91,121300.5
186,2343,1,55,66486,29,53,61,66,87,66486.0
187,2345,1,60,398257,29,51,61,72,88,398257.0
188,2346,1,55,66486,29,53,61,66,87,66486.0
189,2348,1,60,398257,29,51,61,72,88,398257.0
190,2350,1,55,66486,29,53,61,66,87,66486.0
191,2357,1,57,150382,31,55,64,74,88,150382.0
192,2358,1,42,74510,30,52,62,71,86,74510.0
193,2359,1,59,167863,30,50,67,74,89,167863.0
194,2364,1,59,167863,30,50,67,74,89,167863.0
195,2365,3,61,244873,36,55,63,72,96,81624.33333333333
196,2366,3,61,349811,36,56,63,74,96,116603.66666666667
197,2368,3,62,411166,36,58,68,75,99,137055.33333333334
198,2371,1,50,79855,31,55,64,71,88,79855.0
199,2372,1,59,106646,28,51,60,70,88,106646.0
200,2373,1,50,113813,31,58,64,72,89,113813.0
201,2374,1,48,132783,38,59,65,72,89,132783.0
202,2376,3,57,407004,36,54,62,70,93,135668.0
203,2377,3,61,183452,36,54,64,73,97,61150.666666666664
204,2379,3,60,333454,36,54,64,74,96,111151.33333333333
205,2381,3,61,333353,36,54,62,72,96,111117.66666666667
206,2382,3,52,125316,37,57,65,72,94,41772.0
207,2383,3,57,226324,36,53,63,73,94,75441.33333333333
208,2384,3,50,129998,36,55,67,76,91,43332.666666666664
209,2388,1,62,245150,28,55,61,69,89,245150.0
210,2389,1,53,101298,29,51,60,70,89,101298.0
211,2390,1,61,274145,24,56,64,74,89,274145.0
212,2391,1,62,245150,28,55,61,69,89,245150.0
213,2392,1,53,101298,29,51,60,70,89,101298.0
214,2393,1,61,274274,24,56,64,74,89,274274.0
215,2397,2,69,537162,28,53,64,73,96,268581.0
216,2398,2,70,659304,29,58,68,77,101,329652.0
217,2403,3,57,354967,36,57,65,74,93,118322.33333333333
218,2404,1,68,182065,29,51,63,73,96,182065.0
219,2405,1,61,85022,29,53,65,74,94,85022.0
220,2406,1,69,223431,24,50,58,68,96,223431.0
221,2410,1,51,124283,31,51,59,67,87,124283.0
222,2411,1,49,80965,31,48,56,67,84,80965.0
223,2415,3,41,88842,39,55,62,69,84,29614.0
224,2416,3,35,89972,39,58,65,74,84,29990.666666666668
225,2417,3,43,223884,34,58,63,72,84,74628.0
226,2420,2,59,182061,30,57,66,76,91,91030.5
227,2422,1,56,138753,32,56,62,72,89,138753.0
228,2423,1,52,90819,31,60,67,76,89,90819.0
229,2424,1,46,102860,31,58,65,72,85,102860.0
230,2431,3,59,217723,36,57,65,74,96,72574.33333333333
231,2432,3,59,251383,36,54,65,72,96,83794.33333333333
232,2433,3,57,61582,36,54,61,71,94,20527.333333333332
233,2436,1,65,533334,28,50,60,76,93,533334.0
234,2441,1,73,576965,29,58,70,81,101,576965.0
235,2442,1,70,119237,29,51,65,74,101,119237.0
236,2443,1,71,329403,25,54,63,74,97,329403.0
237,2444,1,71,524650,24,52,63,73,94,524650.0
238,2451,3,58,125608,36,58,66,75,96,41869.333333333336
239,2462,2,54,242226,33,57,68,76,88,121113.0
240,2463,2,61,233180,28,57,67,74,91,116590.0
241,2466,2,61,230662,28,57,67,74,91,115331.0
242,2471,1,59,92232,28,57,64,70,88,92232.0
243,2472,1,58,153939,30,56,65,75,89,153939.0
244,2473,1,60,303582,29,57,69,79,89,303582.0
245,2476,1,59,92232,28,57,64,70,88,92232.0
246,2477,1,58,153939,30,56,65,75,89,153939.0
247,2478,1,60,303191,29,57,69,79,89,303191.0
248,2480,3,58,268624,38,57,65,74,97,89541.33333333333
249,2481,3,45,136062,37,57,67,74,88,45354.0
250,2482,3,55,345151,37,57,69,76,93,115050.33333333333
251,2483,3,58,300986,37,59,68,75,95,100328.66666666667
252,2486,1,61,87968,29,50,60,67,91,87968.0
253,2487,1,56,181666,29,53,63,70,89,181666.0
254,2488,1,60,263178,29,55,62,74,91,263178.0
255,2490,1,61,87968,29,50,60,67,91,87968.0
256,2491,1,56,181666,29,53,63,70,89,181666.0
257,2492,1,60,263178,29,55,62,74,91,263178.0
258,2494,3,60,190871,36,53,60,70,96,63623.666666666664
259,2497,3,60,246594,36,57,64,73,96,82198.0
260,2501,2,60,152378,29,54,62,74,89,76189.0
261,2502,2,61,268486,29,55,65,75,90,134243.0
262,2504,4,50,358681,34,58,65,74,86,89670.25
263,2505,4,50,149416,34,57,63,70,86,37354.0
264,2506,4,45,183538,27,58,67,75,87,45884.5
265,2507,4,47,233162,27,58,65,72,86,58290.5
266,2509,1,59,249385,31,55,61,69,89,249385.0
267,2510,1,54,83285,29,50,57,66,88,83285.0
268,2512,1,56,238153,31,56,64,72,88,238153.0
269,2514,1,54,83285,29,50,57,66,88,83285.0
270,2516,1,56,238153,31,56,64,72,88,238153.0
271,2521,2,68,464775,26,54,63,73,95,232387.5
272,2522,2,56,265001,30,50,61,71,91,132500.5
273,2523,2,66,398457,30,54,62,71,95,199228.5
274,2527,1,58,174411,31,53,60,70,90,174411.0
275,2528,1,56,101970,27,56,63,72,89,101970.0
276,2529,1,60,170591,29,54,62,71,89,170591.0
277,2530,1,73,340575,24,49,63,75,99,340575.0
278,2531,1,70,522697,26,53,67,77,96,522697.0
279,2532,1,73,340575,24,49,63,75,99,340575.0
280,2533,1,70,522697,26,53,67,77,96,522697.0
281,2537,1,42,156384,31,57,67,74,88,156384.0
282,2538,1,35,85213,43,60,66,74,88,85213.0
283,2540,1,63,82020,28,56,65,73,95,82020.0
284,2542,1,73,350925,24,55,64,74,100,350925.0
285,2550,1,65,122378,30,59,70,78,94,122378.0
286,2555,1,69,98726,27,55,66,78,99,98726.0
287,2556,1,65,89735,28,50,64,74,95,89735.0
288,2557,1,66,371596,30,51,63,73,97,371596.0
289,2560,3,50,145817,36,55,65,72,89,48605.666666666664
290,2562,3,55,265329,36,55,62,71,91,88443.0
291,2564,1,55,130789,31,51,58,68,89,130789.0
292,2566,1,59,219785,29,55,65,72,89,219785.0
293,2567,1,65,168835,28,55,64,74,96,168835.0
294,2568,1,62,255708,30,55,63,73,93,255708.0
295,2570,2,63,365084,29,51,61,72,91,182542.0
296,2571,2,63,207479,27,51,63,72,90,103739.5
297,2572,2,50,171480,31,55,67,76,91,85740.0
298,2573,2,63,298088,29,52,62,74,92,149044.0
299,2575,1,54,93359,29,51,56,63,89,93359.0
300,2576,1,58,154841,29,56,65,74,89,154841.0
301,2581,1,60,190532,29,53,64,73,89,190532.0
302,2582,1,64,281297,26,53,61,70,89,281297.0
303,2586,2,63,270345,30,52,62,74,93,135172.5
304,2588,1,58,203332,31,53,63,70,89,203332.0
305,2590,1,55,111841,30,49,56,63,87,111841.0
306,2591,1,53,146514,31,53,65,73,89,146514.0
307,2593,1,60,287714,29,54,63,72,89,287714.0
308,2594,1,60,177481,31,49,58,68,92,177481.0
309,2595,1,41,91705,34,56,63,68,87,91705.0
310,2596,1,61,207446,29,53,60,70,89,207446.0
311,2603,1,64,211511,29,54,65,74,96,211511.0
312,2607,1,59,269910,30,53,60,69,89,269910.0
313,2608,1,58,257762,31,50,62,74,89,257762.0
314,2611,1,56,127354,30,53,61,69,89,127354.0
315,2614,1,56,127354,30,53,61,69,89,127354.0
316,2618,1,57,228322,29,55,64,75,89,228322.0
317,2619,1,51,95027,32,56,63,70,89,95027.0
318,2620,1,58,148399,29,55,65,76,89,148399.0
319,2621,3,61,406425,36,57,64,72,96,135475.0
320,2622,3,60,435315,36,57,65,74,96,145105.0
321,2626,2,65,522605,31,60,69,78,97,261302.5
322,2627,2,57,90261,28,49,58,65,87,45130.5
323,2628,2,57,96939,31,55,64,72,94,48469.5
324,2629,2,62,356744,31,55,66,73,98,178372.0
325,2632,1,48,129534,31,55,64,72,88,129534.0
326,2633,1,56,126263,30,55,62,73,89,126263.0
327,2659,1,28,40923,55,68,73,76,85,40923.0
328,2677,1,61,211342,28,52,59,71,93,211342.0
329,2678,1,59,221377,31,57,67,74,90,221377.0
